Time,Entity,Entity Type,Log Source,Host Name (Server),Message
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU24 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU25 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU26 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU27 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU28 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:08.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,Using GB pages for direct mapping
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU29 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU30 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"microcode: CPU31 sig=0x306f2, pf=0x1, revision=0x2b"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,platform microcode: firmware: requesting intel-ucode/06-3f-02
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"Microcode Update Driver: v2.00 <tigran@aivazian.fsnet.co.uk>, Peter Oruba"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,power_meter ACPI000D:00: Found ACPI power meter.
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,EXT4-fs (sda2): mounted filesystem with ordered data mode. Opts:
2018-05-17T08:59:08.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,init_memory_mapping: 0000000000000000-000000007b800000
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,Adding 65535992k swap on /dev/mapper/VolGroup-lv_swap.  Priority:-1 extents:1 across:65535992k
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,NET: Registered protocol family 10
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,lo: Disabled Privacy Extensions
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,802.1Q VLAN Support v1.8 Ben Greear <greearb@candelatech.com>
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,All bugs added by David S. Miller <davem@redhat.com>
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,"Ethernet Channel Bonding Driver: v3.6.0 (September 26, 2009)"
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: Setting MII monitoring interval to 100.
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: setting mode to 802.3ad (4).
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: Setting LACP rate to fast (1).
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: setting xmit hash policy to layer3+4 (1).
2018-05-17T08:59:08.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,init_memory_mapping: 0000000100000000-0000004080000000
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: Setting MII monitoring interval to 100.
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: setting mode to 802.3ad (4).
2018-05-17T08:59:09.000Z,lakala_linux_sysylog_logs,Host (Linux),Linux Syslog Logs,localhost,bonding: bond0: Setting LACP rate to fast (1).
